iter	Passed	Remaining
0	142	42605
1	146	21782
2	149	14847
3	153	11366
4	157	9277
5	160	7882
6	164	6887
7	168	6138
8	171	5560
9	175	5102
10	179	4723
11	183	4406
12	187	4137
13	190	3897
14	194	3693
15	198	3517
16	201	3360
17	205	3225
18	209	3101
19	213	2993
20	217	2892
21	221	2800
22	225	2713
23	228	2633
24	232	2559
25	236	2493
26	240	2430
27	244	2373
28	248	2320
29	252	2268
30	255	2218
31	259	2175
32	263	2132
33	267	2090
34	270	2050
35	274	2016
36	278	1981
37	282	1949
38	286	1917
39	290	1888
40	294	1858
41	297	1830
42	301	1802
43	305	1777
44	309	1752
45	313	1729
46	317	1707
47	321	1685
48	324	1663
49	328	1642
50	332	1624
51	337	1608
52	340	1588
53	344	1570
54	348	1553
55	352	1536
56	356	1518
57	359	1501
58	363	1485
59	368	1473
60	374	1465
61	379	1457
62	384	1444
63	388	1433
64	394	1427
65	400	1421
66	406	1414
67	412	1406
68	417	1396
69	421	1386
70	427	1379
71	432	1368
72	437	1361
73	443	1353
74	448	1345
75	454	1339
76	460	1334
77	466	1328
78	473	1323
79	483	1330
80	487	1317
81	491	1305
82	498	1302
83	504	1297
84	509	1288
85	523	1302
86	527	1291
87	531	1280
88	535	1269
89	539	1258
90	549	1261
91	553	1251
92	559	1244
93	564	1236
94	567	1225
95	572	1215
96	575	1204
97	579	1195
98	583	1184
99	588	1177
100	593	1169
101	597	1158
102	600	1149
103	605	1141
104	609	1131
105	612	1121
106	616	1112
107	621	1104
108	624	1093
109	627	1084
110	630	1074
111	635	1066
112	638	1056
113	642	1047
114	645	1038
115	649	1030
116	652	1021
117	656	1012
118	660	1003
119	665	998
120	669	989
121	672	981
122	675	972
123	679	964
124	682	955
125	685	947
126	689	939
127	693	931
128	697	923
129	701	917
130	704	909
131	708	902
132	712	894
133	716	887
134	720	880
135	724	873
136	728	866
137	731	859
138	735	852
139	739	844
140	742	837
141	745	829
142	749	823
143	753	816
144	756	808
145	759	801
146	763	794
147	766	787
148	770	780
149	774	774
150	778	767
151	782	761
152	786	755
153	789	748
154	792	741
155	796	735
156	800	729
157	803	722
158	807	715
159	810	709
160	813	702
161	816	695
162	819	688
163	822	682
164	826	676
165	829	669
166	832	663
167	836	656
168	839	650
169	842	644
170	846	638
171	849	632
172	853	626
173	857	621
174	861	615
175	864	609
176	869	604
177	873	598
178	876	592
179	879	586
180	883	580
181	886	574
182	890	569
183	893	563
184	896	557
185	901	552
186	904	546
187	907	540
188	911	535
189	915	530
190	919	524
191	922	518
192	926	513
193	930	508
194	934	503
195	937	497
196	941	492
197	945	487
198	949	482
199	952	476
200	956	471
201	960	466
202	964	460
203	967	455
204	971	450
205	976	445
206	980	440
207	983	435
208	987	429
209	991	425
210	995	419
211	998	414
212	1002	409
213	1006	404
214	1010	399
215	1013	394
216	1017	389
217	1020	384
218	1024	378
219	1028	373
220	1032	369
221	1037	364
222	1041	359
223	1044	354
224	1049	349
225	1052	344
226	1055	339
227	1059	334
228	1064	329
229	1067	324
230	1071	320
231	1075	315
232	1079	310
233	1083	305
234	1086	300
235	1089	295
236	1094	290
237	1097	285
238	1101	281
239	1105	276
240	1109	271
241	1112	266
242	1116	261
243	1119	256
244	1124	252
245	1128	247
246	1131	242
247	1135	238
248	1139	233
249	1142	228
250	1145	223
251	1148	218
252	1153	214
253	1156	209
254	1159	204
255	1162	199
256	1166	195
257	1170	190
258	1173	185
259	1176	181
260	1180	176
261	1183	171
262	1187	167
263	1190	162
264	1193	157
265	1198	153
266	1201	148
267	1205	143
268	1208	139
269	1212	134
270	1215	130
271	1219	125
272	1222	120
273	1226	116
274	1230	111
275	1233	107
276	1237	102
277	1241	98
278	1244	93
279	1247	89
280	1251	84
281	1257	80
282	1261	75
283	1264	71
284	1267	66
285	1271	62
286	1275	57
287	1278	53
288	1281	48
289	1285	44
290	1288	39
291	1291	35
292	1295	30
293	1298	26
294	1302	22
295	1305	17
296	1309	13
297	1312	8
298	1315	4
299	1319	0
