YEAR,TICKER,COMPANY,SALES,INTEREST,EXPENSES,OPERATING_PROFIT,FINANCING_MARGIN_PERCENT,OTHER_INCOME,DEPRECIATION,PBT,TAX_PERCENT,NET_PROFIT,EPS,DIVIDEND_PAYOUT_PERCENT,OPM_PERCENT
01-03-2020,NSDL,NSDL,326,1,203,123,,53,13,162,,125,31.19,,
01-03-2021,NSDL,NSDL,466,1,259,207,,58,17,247,,189,47.14,,
01-03-2022,NSDL,NSDL,761,2,522,239,,60,19,278,,213,53.15,,
01-03-2023,NSDL,NSDL,1022,2,772,250,,78,22,305,,235,11.74,,
01-03-2024,NSDL,NSDL,1268,2,985,284,,97,24,355,,275,13.77,,
01-03-2025,NSDL,NSDL,1420,4,1045,376,,117,35,453,,343,17.16,,
01-03-2026,NSDL,NSDL,1435,6,1017,419,,133,44,501,,373,18.64,,
01-03-2014,CIPLA,CIPLA,10173,146,8026,2147,,251,373,1880,,1404,17.29,,
01-03-2015,CIPLA,CIPLA,11345,168,9183,2163,,164,505,1654,,1229,14.71,,
01-03-2016,CIPLA,CIPLA,13790,207,11310,2480,,208,754,1727,,1383,16.93,,
01-03-2017,CIPLA,CIPLA,14394,159,11898,2496,,208,1323,1222,,1035,12.51,,
01-03-2018,CIPLA,CIPLA,15156,114,12329,2826,,280,1323,1669,,1417,17.52,,
01-03-2019,CIPLA,CIPLA,16362,168,13265,3097,,477,1326,2079,,1492,18.96,,
01-03-2020,CIPLA,CIPLA,17132,197,13926,3206,,344,1175,2178,,1500,19.18,,
01-03-2021,CIPLA,CIPLA,19160,161,14907,4252,,266,1068,3290,,2389,29.82,,
01-03-2022,CIPLA,CIPLA,21763,106,17211,4553,,99,1052,3493,,2547,31.19,,
01-03-2023,CIPLA,CIPLA,22753,110,17726,5027,,293,1172,4038,,2833,34.71,,
01-03-2024,CIPLA,CIPLA,25774,90,19483,6291,,552,1051,5702,,4154,51.05,,
01-03-2025,CIPLA,CIPLA,27548,62,20420,7128,,862,1107,6821,,5269,65.28,,
01-03-2026,CIPLA,CIPLA,28351,55,21886,6466,,747,1137,6021,,4533,56.29,,
01-03-2014,DRREDDY,DR REDDY,13415,127,10164,3251,,170,648,2646,,1963,23.08,,
01-03-2015,DRREDDY,DR REDDY,15023,108,11515,3508,,260,760,2900,,2336,27.43,,
01-03-2016,DRREDDY,DR REDDY,15568,83,11983,3585,,295,939,2859,,2131,24.98,,
01-03-2017,DRREDDY,DR REDDY,14196,63,11724,2472,,172,1027,1554,,1292,15.59,,
01-03-2018,DRREDDY,DR REDDY,14281,79,11930,2351,,155,1077,1350,,947,11.41,,
01-03-2019,DRREDDY,DR REDDY,15448,89,12270,3178,,381,1135,2336,,1950,23.49,,
